År,Komponist,Verk,Dirigent,Sted,Mer Info
2020-03,Diverse,Orgelets Ønskekonsert,"Ustyantseva, Kateryna",Stavanger Konserthus,
2020-02,Beethoven,Fidelio,"Stenz, Markus",Stavanger Konserthus,https://drive.google.com/open?id=1f0o8K_W4ZOZ5fSjZgM6M7g1kiNlzjDSm
2019-12,Händel,Messias,"Spering, Andreas",Stavanger Konserthus,https://drive.google.com/open?id=18Vd9yLYw5-yY6oUMpQjRYVq-OmnT0RYL
2019-12,Diverse,Juleprogram,"Korsgård, Trond",Stavanger Konserthus,https://drive.google.com/open?id=149QcAlrobVWukv7fGoyTtrzLoaevEi9v
2019-10,Diverse,"Filmkonsert - musikalsk utdrag fra Beowulf, Star Wars, Cliffhanger, Saving Private Ryan, m.m.",Christian Schuman,Stavanger Konserthus,https://drive.google.com/open?id=1IeaB7lbsDH9aYioq1ttaigjnlARcclAp
2019-09,Diverse,Uttvalg fra repertoir,"Ustyantseva, Kateryna",Ryfylke Fjord Hotell,https://drive.google.com/open?id=18x07yfjsmK-znkXs_1izFEzkIZlYQqul
2019-04,Fauré,Requiem (original versjon 1893),"Vasquez, Christian",Stavanger Konserthus,https://drive.google.com/open?id=1SsrF3yQzrYG-osgCN7qs995cZw7QKR3w
2019-04,Berlioz,Tristia Op. 18,"Vasquez, Christian",Stavanger Konserthus,https://drive.google.com/open?id=1SsrF3yQzrYG-osgCN7qs995cZw7QKR3w
2019-01,Mahler,Symfoni nr. 3,"Vasquez, Christian",Stavanger Konserthus,https://drive.google.com/open?id=1CuDNddc9cORGpildC16RI96f6__8w2iq
2018-12,Diverse,Juleprogram,"Skaldstad, Per Kristian",Stavanger Konserthus,https://drive.google.com/open?id=1zxYfL6L8Ssdxk7r2fIpcpgP6QfpKOnsT
2018-12,"Bach, J. S.",Juleoratoriet 1-3,"Pedersen, Grete",Stavanger Konserthus,https://drive.google.com/open?id=1ADO8Ak1wnQK1SRkHukO64FM71Hr7kIyK
2018-09,Beethoven,Symfoni nr. 9,"Vasquez, Christian",Stavanger Konserthus,https://drive.google.com/open?id=12SRmK0ecAF0YwPZgSQpMDrA4_mwV8Yc2
2018-08,Diverse,5. aug - deltakelse på gudstjeneste,"Ustyantseva, Kateryna","Basilique Notre-Dame de Fourviere, Lyon, France",
2018-08,Diverse,4. aug - Beaujolais en Scene et en Musique.,"Ustyantseva, Kateryna","Chateau de Lacarelle, Saint-Etienne-des-Oulliers, France;",https://drive.google.com/open?id=1jINGF6lk4IDk7A6VOO9q_Er6UaTUScbx
2018-03,Diverse,Orgelets Ønskekonsert,"Ustyantseva, Kateryna",Stavanger Konserthus,https://drive.google.com/open?id=1-2cmUJmVM5epYNAmRn6dKa_l6tZhLlEW
2018-03,Bernstein,Bernstein I Hundre,"Lockhart, Keith",Stavanger Konserthus,https://drive.google.com/open?id=16am5rwGw1gUPlZTAOu4YygUSC3RlluBV
2017-12,Diverse,Juleprogram,"Korsgård, Trond",Stavanger Konserthus,https://drive.google.com/open?id=1zzNmmSwvL54Ay0huvOFztI-Rt4-ap3je
2017-12,Händel,Messias,"de Vriend, Jan Willem",Stavanger Konserthus,https://drive.google.com/open?id=1VfH8VSglPoEaUSw-tQ0Lyd6YEh_hv3ol
2017-10,"Mozart, Wolfgang Amadeus",Ave Verum Corpus,"Aadland, Eivind",Stavanger Konserthus,https://drive.google.com/open?id=1YyKy5o8qlxoVQQ6flrQYiQDn4KkBJ9sH
2017-10,"Bruckner, Anton",Te Deum,"Aadland, Eivind",Stavanger Konserthus,https://drive.google.com/open?id=1YyKy5o8qlxoVQQ6flrQYiQDn4KkBJ9sH
2017-06,Fauré,Requiem,"Ustyantseva, Kateryna",Stavanger Konserthus,https://drive.google.com/open?id=1iqV5qXNh245O-5OneVTULlFhVBpOexcU
2017-03,Mozart,Requiem,Benjamin Bayl,Stavanger Konserthus,https://drive.google.com/open?id=16iMP-2-Q9NuuNLuEDMTkfRfitsLgxW_v
2017-03,"Pärt, Arvo",Salve Regina,Benjamin Bayl,Stavanger Konserthus,https://drive.google.com/open?id=16iMP-2-Q9NuuNLuEDMTkfRfitsLgxW_v
