Dato,Anledning,Link
2020-02,Fidelio opera: bilder,https://photos.app.goo.gl/9iCPGoegMz8gVXzN7
2019-12,Julekonsert: bilder,https://photos.app.goo.gl/eEMyT8bXX87vH6jC8
2019-12,Messias: bilder,https://photos.app.goo.gl/hvDequKTounLZyjQ7
2019-10,Filmkonsert: bilder,https://photos.app.goo.gl/JMyMyE9pHY4iCRDH9
2019-09,Sand seminar: bilder,https://photos.app.goo.gl/5nYA6rfzfwG1tqTv5
2019-06,Årsmøte slideshow: bilder,https://photos.app.goo.gl/38zyet8zZrB9kcVMA
2019-01,Mahler symfoni nr 3 konsert: bilder,https://photos.app.goo.gl/hykSqLrnujgUKEwm7
2018-12,Juleoratoriet: bilder,https://photos.app.goo.gl/bi2cv4oN2fetYv8S8
2018-11,Beethovens 9. symfoni: bilder,https://photos.app.goo.gl/go6cj4GnFVbVUCXg6
2018-08,"Kortur til Lyon, Frankrike: bilder",https://photos.app.goo.gl/Q1Z6Z8qQU1Czfrwh6
2018-08,"Kortur til Lyon, Frankrike: videoer",https://photos.app.goo.gl/jdEAmYd7M1dxuQYw6
2018-03,Orgelets ønskekonsert: bilder,https://photos.app.goo.gl/EFa4ELGgAcwBKUv99
2018-03,Bernstein i hunder konsert: bilder,https://photos.app.goo.gl/GrGYzLrtZHr1Nwwh7
2017-12,Julekonsert: bilder,https://photos.app.goo.gl/D6WTMhYkqe8mFEQt5
2017-12,Messias: bilder,https://photos.app.goo.gl/zz4GnbYXLutrUs6b7
2017-09,Sand seminar: bilder,https://photos.app.goo.gl/yK5iZ84WNE5Z1ky82
2017-06,"Årsfest, slideshow/video",https://photos.app.goo.gl/doSJiMbBqf43BAVq8
2016-12,Navn i nyhetene (om Katia),https://photos.app.goo.gl/vKGjbUGfqmJ1EMMv9
2016-12,Julekonsert: bilder,https://photos.app.goo.gl/C2R6hYPwrZ37n7zR6
2016-10,Bruckner: bilder,https://photos.app.goo.gl/c17rLKLMNWXCQKsm7
2016-05,Vivaldi: bilder,https://photos.app.goo.gl/7gQirfC88ezXyMh27
2016-03,Bohlin a capella konsert i St Petri: bilder,https://photos.app.goo.gl/LCufAK4oJt1zcr3Y9
2015-11,Bellini Romeo & Julie: bilder,https://photos.app.goo.gl/Hqc2kAJQnvqi8q4XA
2015-09,Sand seminar: bilder,https://photos.app.goo.gl/sJTueZnM9hc83QLu8
2015-02,Orgelets ønskekonsert: bilder,https://photos.app.goo.gl/CyGyb6g2mTrPFbXd7
2014-11,40 års jubileumsfest på Gaffel & Karaffel,https://photos.app.goo.gl/xx76x9xMVSMcyBG3A
2014-10,40 års Jubileumskonsert i Stavanger Konserthus,https://photos.app.goo.gl/xUh9rsSsr3SFLtai8
2014-10,40 års jubileum: slideshow,https://photos.app.goo.gl/MQfCWW1uju4JU2NY6
2013-12,Händels Messias i St. Petri: bilder,https://photos.app.goo.gl/VftEbWhCq5DHe8Mi9
2013-10,Carmina Burana: 1 bilde,https://photos.app.goo.gl/vnH8eXzPH68WkbQS8
2012-10,Verdis Requiem: 2 bilder,https://photos.app.goo.gl/EMsKPNGvETAAHm816
2012-09,"Tryllefløyen, nytt konserthus: bilder",https://photos.app.goo.gl/3McsRUUhQJZF6hPq9
2012-05,Test av nytt konserthus: bilder,https://photos.app.goo.gl/2MUpbQhgWWJLtJNA6
2012-03,Mozart Requiem i St. Petri: bilder,https://photos.app.goo.gl/E6UXjbXvZyYPsj5q8
2011-11,Krzysztof Meyer: Symfoni nr 8 - Sinfonia da Requiem: bilder,https://photos.app.goo.gl/NGdor5EivRjsDpty6
2010-12,Bach Juleoratorium: bilder,https://photos.app.goo.gl/V1DQVS2S4g31ytVX9
2010-09,Korseminar på Sand: bilder,https://photos.app.goo.gl/qSTq1rX2mXTp1iKfA
2010-03,Mozart Requiem i St. Petri: 1 bilde,https://photos.app.goo.gl/Fidh43bYK6CsRJYD6
2009-09,Aftenbladet: Katie blir ny dirigent,https://drive.google.com/open?id=1NQvK_PzAgRPpDITxMejktMFzPdPa8ObT
2009-09,YouTube: Tota Pulcra Es i Stavanger Domkirke,https://www.youtube.com/watch?v=A-hs1gsYF0c&feature=youtu.be
2009-04,Carmina Burana i Stavanger Konserthus: bilder,https://photos.app.goo.gl/tSeAXhPWdeNiUjiC6
2008-05,Byterminalen: bilder,https://photos.app.goo.gl/tQMU9anuvYU4Nsrf8
2006-01,Mozart 250 år jubileumskonsert Sandnes kulturhus: bilder,https://photos.app.goo.gl/5GkVV8En9zN9wcmV8
2005-05,Isle of Man tur: bilder,https://photos.app.goo.gl/MLYzoyKq6Wo6EVjV9
2005-05,Avisutklipp fra den lokale presse,https://drive.google.com/open?id=1ORxZZGqkhaLyX7UWpjMKqwbhmv0hx3Bk
